feature,category,woe,coefficient,iv,points
b_util_ratio,"(-inf, 0.00)",1.8053670894470426,-0.11222681726617775,0.10784452941767438,54
b_util_ratio,"[0.00, 0.07)",1.5059305897110034,-0.11222681726617775,0.061125380576189395,52
b_util_ratio,"[0.07, 0.15)",1.2641767129102779,-0.11222681726617775,0.07430462046929993,50
b_util_ratio,"[0.15, 0.19)",1.014769782136535,-0.11222681726617775,0.03339893638271052,48
b_util_ratio,"[0.19, 0.24)",0.8221937255343907,-0.11222681726617775,0.03871887853479034,46
b_util_ratio,"[0.24, 0.28)",0.6355621249986272,-0.11222681726617775,0.01532382891020795,45
b_util_ratio,"[0.28, 0.31)",0.5117487132777616,-0.11222681726617775,0.013255721782752883,44
b_util_ratio,"[0.31, 0.36)",0.3477096843773442,-0.11222681726617775,0.008763739617480951,42
b_util_ratio,"[0.36, 0.40)",0.15884428239305093,-0.11222681726617775,0.0017079371917720313,41
b_util_ratio,"[0.40, 0.44)",0.03655426029243891,-0.11222681726617775,7.032079860863882e-05,40
b_util_ratio,Special,0.0,-0.11222681726617775,0.0,40
b_util_ratio,Missing,0.0,-0.11222681726617775,0.0,40
b_util_ratio,"[0.44, 0.50)",-0.1945483749498127,-0.11222681726617775,0.004069681971480581,38
b_util_ratio,"[0.50, 0.55)",-0.38217940550846174,-0.11222681726617775,0.011638282430759454,37
b_util_ratio,"[0.55, 0.63)",-0.6263452167057602,-0.11222681726617775,0.03839237433681728,35
b_util_ratio,"[0.63, 0.71)",-0.888095821388803,-0.11222681726617775,0.06107591971229991,32
b_util_ratio,"[0.71, inf)",-1.3796580048479314,-0.11222681726617775,0.20082627267999636,28
bureau_score,"[847.50, inf)",2.6324289831482575,-0.4790305938744689,0.1315584554579166,131
bureau_score,"[815.50, 847.50)",2.0263464399045517,-0.4790305938744689,0.0916606739697224,110
bureau_score,"[786.50, 815.50)",1.812598905392624,-0.4790305938744689,0.10964533442012164,102
bureau_score,"[760.50, 786.50)",1.412782261107235,-0.4790305938744689,0.09287971071252368,88
bureau_score,"[745.50, 760.50)",1.1423116695887443,-0.4790305938744689,0.04539434063896767,79
bureau_score,"[729.50, 745.50)",1.0749189366269687,-0.4790305938744689,0.04799787830535081,77
bureau_score,"[715.50, 729.50)",0.7835383214292064,-0.4790305938744689,0.026800431685977472,67
bureau_score,"[702.50, 715.50)",0.6695329991562078,-0.4790305938744689,0.01921172899294683,63
bureau_score,"[690.50, 702.50)",0.48965542315275146,-0.4790305938744689,0.01032327231614177,57
bureau_score,"[677.50, 690.50)",0.28344295266831976,-0.4790305938744689,0.004118588728943898,49
bureau_score,"[665.50, 677.50)",0.23045653101504238,-0.4790305938744689,0.002455765403283483,48
bureau_score,Special,0.0,-0.4790305938744689,0.0,40
